country_id,country,continent,year,lifeexp,population,gdpPercap,trans_deaths,resp_deaths,ext_deaths,total_perthou,death_cat
1,Albania,Europe,1982,70.419998,2780097,3631,,,,,
1,Albania,Europe,1987,72,3075321,3739,305,2688,736,762.4000244,high
1,Albania,Europe,1992,71.581001,3326498,2497,423,2522,1065,690.5,middle
1,Albania,Europe,1997,72.949997,3428038,3193,183,1357,2596,620.5999756,middle
1,Albania,Europe,2002,75.651001,3508512,4604,314,906,1248,593.4000244,middle
1,Albania,Europe,2007,76.422997,3600523,5937,269,590,964,457.1000061,low
2,Argentina,Americas,1982,69.942001,29341374,8998,4226,12735,15531,787.1,high
2,Argentina,Americas,1987,70.774002,31620918,9140,3671,16333,16490,817.5999756,high
2,Argentina,Americas,1992,71.867996,33958947,9308,3860,16787,17806,763.5999756,high
2,Argentina,Americas,1997,73.275002,36203463,10967,4118,28384,19015,684.5,middle
2,Argentina,Americas,2002,74.339996,38331121,8798,3605,35999,19660,658.5,middle
2,Argentina,Americas,2007,75.32,40301927,12779,4315,48115,19461,633.2999878,middle
3,Australia,Oceania,1982,74.739998,15184200,19477,3655,8850,8202,674.3,middle
3,Australia,Oceania,1987,76.32,16257249,21889,3084,8519,7963,598.0999756,middle
3,Australia,Oceania,1992,77.559998,17481977,23425,2337,10083,7308,539.2000122,low
3,Australia,Oceania,1997,78.830002,18565243,26998,1946,13192,7542,484.5,low
3,Australia,Oceania,2002,80.370003,19546792,30688,1905,11640,7786,422.6000061,low
3,Australia,Oceania,2007,81.235001,20434176,34435,1715,11623,8232,377.7000122,low
4,Austria,Europe,1982,73.18,7574613,21597,2042,4690,6971,764.5,high
4,Austria,Europe,1987,74.940002,7578903,23688,1544,4118,6135,671,middle
4,Austria,Europe,1992,76.040001,7914969,27042,1316,3926,5094,618.2999878,middle
4,Austria,Europe,1997,77.510002,8069876,29096,1086,3555,4428,552,low
4,Austria,Europe,2002,78.980003,8148312,32418,938,4090,4317,491.6000061,low
4,Austria,Europe,2007,79.829002,8199783,36126,702,4552,4217,433.2000122,low
5,Bahrain,Asia,1982,69.052002,377967,19211,,,,,
5,Bahrain,Asia,1987,70.75,454612,18524,52,82,124,890.2000122,high
5,Bahrain,Asia,1992,72.600998,529491,19036,,,,,
5,Bahrain,Asia,1997,73.925003,598561,20292,74,76,167,729.5,high
5,Bahrain,Asia,2002,74.794998,656397,23404,80,118,178,694.7000122,middle
5,Bahrain,Asia,2007,75.635002,708573,29796,100,173,225,506.2999878,low
6,Belgium,Europe,1982,73.93,9856303,20980,2263,7819,8137,731.9,high
6,Belgium,Europe,1987,75.349998,9870200,22526,2064,7687,6850,643.7999878,middle
6,Belgium,Europe,1992,76.459999,10045622,25576,1682,8858,6433,594.2999878,middle
6,Belgium,Europe,1997,77.529999,10199787,27561,1513,10671,6292,552.4000244,low
6,Belgium,Europe,2002,78.32,10311970,30486,1449,12108,6558,519.2999878,low
6,Belgium,Europe,2007,79.441002,10392226,33693,1146,11333,6420,453.6000061,low
7,Bolivia,Americas,1982,53.859001,5642224,3157,,,,,
7,Bolivia,Americas,1987,57.250999,6156369,2754,,,,,
7,Bolivia,Americas,1992,59.957001,6893451,2962,,,,,
7,Bolivia,Americas,1997,62.049999,7693188,3326,,,,,
7,Bolivia,Americas,2002,63.882999,8445134,3413,115,1286,2861,,
7,Bolivia,Americas,2007,65.554001,9119152,3822,,,,,
8,Bosnia and Herzegovina,Europe,1982,70.690002,4172693,4127,,,,,
8,Bosnia and Herzegovina,Europe,1987,71.139999,4338977,4314,260,1355,2184,824.4000244,high
8,Bosnia and Herzegovina,Europe,1992,72.178001,4256013,2547,,,,,
8,Bosnia and Herzegovina,Europe,1997,73.244003,3607000,4766,,,,,
8,Bosnia and Herzegovina,Europe,2002,74.089996,4165416,6019,,,,,
8,Bosnia and Herzegovina,Europe,2007,74.851997,4552198,7446,,,,,
9,Brazil,Americas,1982,63.335999,128962939,7031,21250,58261,73398,893.6,high
9,Brazil,Americas,1987,65.205002,142938076,7807,28136,63055,94382,744.7999878,high
9,Brazil,Americas,1992,67.056999,155975974,6950,27081,69746,98769,884.2999878,high
9,Brazil,Americas,1997,69.388,168546719,7958,35731,84019,119452,830.0999756,high
9,Brazil,Americas,2002,71.005997,179914212,8131,33270,94541,126430,759.5999756,high
9,Brazil,Americas,2007,72.389999,190010647,9066,38404,104483,131234,675.7000122,middle
10,Bulgaria,Europe,1982,71.080002,8892098,8224,1524,8003,5510,890.4,high
10,Bulgaria,Europe,1987,71.339996,8971958,8240,1366,7188,5508,902,high
10,Bulgaria,Europe,1992,71.190002,8658506,6303,1343,6036,5852,885.7999878,high
10,Bulgaria,Europe,1997,70.32,8066057,5970,988,5618,5049,982.5999756,high
10,Bulgaria,Europe,2002,72.139999,7661799,7697,976,3329,4243,848.9000244,high
10,Bulgaria,Europe,2007,73.004997,7322858,10681,1070,4540,3797,792.5,high
11,Canada,Americas,1982,75.760002,25201900,22899,4646,12238,14165,638,middle
11,Canada,Americas,1987,76.860001,26549700,26627,4669,14434,14209,577.7000122,middle
11,Canada,Americas,1992,77.949997,28523502,26343,3741,16663,13116,517.4000244,low
11,Canada,Americas,1997,78.610001,30305843,28955,3288,20036,13049,497.2000122,low
